# ML Zoomcamp 2026 full distrust audit; active occurrence rows are final state.
# Contact sheets: all nine module sheets reviewed; native/lesson-size spot checks included.
# Status is explicit per occurrence: final active rows PASS; pre-fix action rows FAIL with disposition.
record	status	disposition	module	lesson	line	reference	alt_or_label	source_type	dimensions	crispness	overlays	fidelity	context_before	context_after	note	remote_check
active	PASS	KEEP	02-regression	07-linear-regression-training.md	187	images/07-linear-regression-training-07-train-function-crisp.png	Splitting w_full into the bias term and the feature weights	original screenshot	3300x540	PASS	none	PASS	perfect sense: the older the car, the lower the price.	Finally, let's wrap everything into a function. The function takes `X`		
active	PASS	KEEP	02-regression	08-baseline-model.md	24	images/08-baseline-model-01-numerical-columns-crisp.png	Looking at the columns of the training dataframe	original screenshot	2880x1230	PASS	none	PASS	```	Linear regression as we implemented it works only with numbers, so for		
active	PASS	KEEP	02-regression	08-baseline-model.md	42	images/08-baseline-model-02-base-features-crisp.png	Creating the list of base features	original screenshot	2880x252	PASS	none	PASS	```	To get a subset of columns from a dataframe, we select the columns with		
active	PASS	KEEP	02-regression	08-baseline-model.md	62	images/08-baseline-model-03-nan-weights-crisp.png	Training fails: the weights come back as nan	original screenshot	2880x330	PASS	none	PASS	"are `nan` - ""not a number""."	Something is wrong with the data. Let's check for missing values:		
active	PASS	KEEP	02-regression	08-baseline-model.md	77	images/08-baseline-model-04-fillna-zero-crisp.png	Filling missing values with zeros	original screenshot	3120x960	PASS	none	PASS	```	Filling with zeros might look strange - a car with zero horsepower		
active	PASS	KEEP	02-regression	08-baseline-model.md	90	images/08-baseline-model-05-missing-feature-ignored-crisp.png	Setting a missing feature to zero simply removes its term	original screenshot	2700x1800	PASS	none	PASS	```	When `xi1` is zero, its term `xi1 · w1` disappears, so the model		
active	PASS	KEEP	02-regression	08-baseline-model.md	134	images/08-baseline-model-06-prediction-histogram-crisp.png	Comparing the distributions of predictions (red) and actual prices (blue)	original screenshot	2880x1860	PASS	none	PASS	histograms are visible in the same plot.	Looking at the chart, the distribution of predictions does not really		
active	PASS	KEEP	02-regression	09-rmse.md	27	images/09-rmse-01-rmse-formula-crisp.png	Writing the RMSE formula	original screenshot	3390x1728	PASS	none	PASS	```	Let's unpack each part with a small example.		
active	PASS	KEEP	02-regression	09-rmse.md	41	images/09-rmse-02-predictions-vs-actual-prices-crisp.png	Predictions and actual values as two arrays	original screenshot	2892x2058	PASS	none	PASS	```	The first step is to take the difference between each prediction and		
active	PASS	KEEP	02-regression	09-rmse.md	53	images/09-rmse-03-differences-crisp.png	Taking the differences between predictions and actual values	original screenshot	3150x2058	PASS	none	PASS	```	Next, we square each difference:		
active	PASS	KEEP	02-regression	09-rmse.md	74	images/09-rmse-04-squared-errors-mean-crisp.png	Squaring the differences and taking the mean	original screenshot	3150x1740	PASS	none	PASS	```	This is the mean squared error, MSE. For our example, the mean squared		
active	PASS	KEEP	02-regression	09-rmse.md	129	images/09-rmse-06-rmse-implementation-crisp.png	Implementing rmse and evaluating the baseline model	original screenshot	3390x1728	PASS	none	PASS	```	The RMSE of the baseline model is about 0.76. This single number is		
active	PASS	KEEP	02-regression	10-car-price-validation.md	22	images/10-car-price-validation-01-split-diagram-crisp.png	Train, validation and test sets: the model g is trained on train and applied to validation	original screenshot	1520x1040	PASS	none	PASS	part to see how it performs on data it has never seen.	Two lessons ago we built our first baseline model using five numerical features		
active	PASS	KEEP	02-regression	10-car-price-validation.md	62	images/10-car-price-validation-02-prepare-x-function-crisp.png	The prepare_X function in the notebook	original screenshot	3198x540	PASS	none	PASS	on any dataframe - that is why the argument is just `df` and not `df_train`.	## Computing the RMSE on validation data		
active	PASS	KEEP	02-regression	10-car-price-validation.md	86	images/10-car-price-validation-03-train-and-validate-crisp.png	Training the model and computing the RMSE on the validation set	original screenshot	3198x1242	PASS	none	PASS	```	The number is pretty similar to what we had on the training data. That is what		
active	PASS	KEEP	02-regression	10-car-price-validation.md	94	images/10-car-price-validation-04-train-vs-validation-parts-crisp.png	The training part and the validation part of the code	original screenshot	3198x1242	PASS	none	PASS	Looking at the code, we can see the two parts clearly:	- The training part only touches the training dataset: we prepare the matrix and		
active	PASS	KEEP	02-regression	11-feature-engineering.md	13	images/11-feature-engineering-01-feature-engineering-imagegen.png	Feature engineering turns a year column into an age feature before modeling	conceptual imagegen	1672x941	PASS	none	PASS	and see it improve the RMSE of our model quite a bit.	*Figure: Subtracting each car's year from 2017 creates the `age` feature that enters the model input matrix.*		
active	PASS	KEEP	02-regression	12-categorical-variables.md	21	images/12-categorical-variables-01-object-columns-crisp.png	The columns with the object type are the categorical variables	original screenshot	3198x1608	PASS	none	PASS	type `object` are categorical variables.	There is one variable that looks numerical but is not: `number_of_doors`. It		
active	PASS	KEEP	02-regression	12-categorical-variables.md	41	images/12-categorical-variables-02-encoding-diagram.jpg	One categorical column with values 2, 3, 4, 2 represented as three binary columns	conceptual imagegen	1492x1054	PASS	none	PASS	column that matches the row, and 0 everywhere else:	One categorical column becomes multiple binary columns, and each row gets	conceptual diagram matches lesson values 2, 3, 4, 2 and one-hot columns	
active	PASS	KEEP	02-regression	12-categorical-variables.md	92	images/12-categorical-variables-03-doors-loop-crisp.png	The prepare_X function with the number-of-doors columns added	original screenshot	3198x840	PASS	none	PASS	three new features: `num_doors_2`, `num_doors_3` and `num_doors_4`.	We validate the model with the same code as before:		
active	PASS	KEEP	02-regression	12-categorical-variables.md	114	images/12-categorical-variables-04-doors-rmse-crisp.png	The RMSE after adding the door features: 0.5158, almost no improvement	original screenshot	3198x930	PASS	none	PASS	doors feature is not that useful.	## Adding the make		
active	PASS	KEEP	02-regression	12-categorical-variables.md	126	images/12-categorical-variables-05-top-makes-crisp.png	The five most popular car makes: chevrolet, ford, volkswagen, toyota, dodge	original screenshot	3198x690	PASS	none	PASS	```	The output shows the counts, and the names themselves are in the index, so we		
active	PASS	KEEP	02-regression	12-categorical-variables.md	170	images/12-categorical-variables-06-categories-dict-crisp.png	The categories dictionary with the most popular values of each categorical variable	original screenshot	3198x810	PASS	none	PASS	```	Then we take `prepare_X` and throw in all the categories. We need two loops: one		
active	PASS	KEEP	02-regression	12-categorical-variables.md	183	images/12-categorical-variables-07-prepare-x-all-categories-crisp.png	The prepare_X function with loops over all categorical variables	original screenshot	3198x810	PASS	none	PASS	```	## Something went wrong		
active	PASS	KEEP	02-regression	12-categorical-variables.md	200	images/12-categorical-variables-08-broken-weights-crisp.png	The RMSE of 41.45 and the huge weights of the model	original screenshot	3198x1560	PASS	none	PASS	variables, but we just made it worse.	In the [next unit](13-regularization.md) we will see why that happened and how		
active	PASS	KEEP	02-regression	13-regularization.md	18	images/13-regularization-01-normal-equation-crisp.png	The normal equation: w is the inverse of the Gram matrix times X transpose times y	original screenshot	920x680	PASS	none	PASS	Remember the formula for the normal equation we use for training our model:	```		
active	PASS	KEEP	02-regression	13-regularization.md	45	images/13-regularization-02-duplicate-columns-crisp.png	The feature matrix with duplicate columns and its Gram matrix	original screenshot	2880x1800	PASS	none	PASS	second and the third are the same:	When something like that happens, the inverse simply doesn't exist. In linear		
active	PASS	KEEP	02-regression	13-regularization.md	76	images/13-regularization-03-noisy-gram-matrix-crisp.png	The noisy Gram matrix and its inverse full of huge numbers	original screenshot	2880x1800	PASS	none	PASS	numbers in the inverse are huge, around 10 to the power of 14.	When we use this inverse to compute the weights, the weights for the duplicated		
active	PASS	KEEP	02-regression	13-regularization.md	83	images/13-regularization-04-huge-weights-crisp.png	The weights for the duplicated features are millions apart	original screenshot	2880x1800	PASS	none	PASS	like 3.4 million and -3.4 million.	So whenever we have duplicates - or near-duplicates - in our feature matrix, we		
active	PASS	KEEP	02-regression	13-regularization.md	104	images/13-regularization-05-singular-matrix-crisp.png	NumPy raising LinAlgError: Singular matrix for a matrix with duplicate columns	original screenshot	2880x1890	PASS	none	PASS	and it cannot compute the inverse:	Now let's do the same trick as before and add a tiny bit of noise:		
active	PASS	KEEP	02-regression	13-regularization.md	137	images/13-regularization-06-eye-diagonal-crisp.png	Adding the identity matrix puts ones on the diagonal	original screenshot	2880x1800	PASS	none	PASS	```	To add only a small number, we multiply the identity matrix by that number first:		
active	PASS	KEEP	02-regression	13-regularization.md	175	images/13-regularization-07-regularized-training-crisp.png	The train_linear_regression_reg function with the regularization parameter r	original screenshot	2880x1800	PASS	none	PASS	add `r` to the main diagonal.	Let's take the code from the previous unit and replace the training function		
active	PASS	KEEP	02-regression	13-regularization.md	197	images/13-regularization-08-rmse-result-crisp.png	The RMSE with regularization: 0.46, better than everything before	original screenshot	2880x1800	PASS	none	PASS	```	By adding a number to the diagonal we were able to control our weights and		
active	PASS	KEEP	02-regression	14-tuning-model.md	35	images/14-tuning-model-01-r-values-loop-crisp.png	The loop over r values and the RMSE printed for each of them	original screenshot	2880x1800	PASS	none	PASS	parameter itself, the bias term, and the score:	## Reading the results		
active	PASS	KEEP	02-regression	14-tuning-model.md	39	images/14-tuning-model-02-rmse-per-r-crisp.png	The RMSE for each value of r: 266 for zero regularization, about 0.46 for the rest	original screenshot	2880x1800	PASS	none	PASS	## Reading the results	What we see: for zero regularization the bias term is huge and the RMSE is huge		
active	PASS	KEEP	02-regression	14-tuning-model.md	53	images/14-tuning-model-03-choosing-r-crisp.png	Choosing r equals 0.001	original screenshot	2880x1800	PASS	none	PASS	with 0.001.	## Training the final model		
active	PASS	KEEP	02-regression	14-tuning-model.md	70	images/14-tuning-model-04-final-model-crisp.png	Training the model with the selected r of 0.001	original screenshot	2880x1800	PASS	none	PASS	```	We selected the best regularization parameter, trained the model with it, and we		
active	PASS	KEEP	02-regression	15-using-model.md	36	images/15-using-model-01-full-train-concat-crisp.png	"Section 2.15 ""Using the model"": the pd.concat cell combining df_train and df_val into df_full_train"	original screenshot	3240x870	PASS	none	PASS	```	If we look at the result, we see that even though there are around 9500 rows		
active	PASS	KEEP	02-regression	15-using-model.md	53	images/15-using-model-02-full-train-prepare-x-crisp.png	The three cells together: concat, reset_index, and prepare_X for the full train dataset	original screenshot	2880x1800	PASS	none	PASS	```	We also need the target values `y`. There is a function in NumPy called		
active	PASS	KEEP	02-regression	15-using-model.md	73	images/15-using-model-03-final-model-weights-crisp.png	Training the final model on X_full_train and y_full_train with r=0.001, and the weights it produces	original screenshot	3300x1740	PASS	none	PASS	This is our final model, and these are its weights.	## Checking the model on test data		
active	PASS	KEEP	02-regression	15-using-model.md	94	images/15-using-model-04-test-rmse-crisp.png	Checking the final model on the test set: RMSE 0.4600753970266562	original screenshot	3300x1740	PASS	none	PASS	```	That is a very good sign. It means our model generalizes well: it didn't get		
active	PASS	KEEP	02-regression	15-using-model.md	134	images/15-using-model-06-car-dictionary-crisp.png	The car dictionary: a Toyota Sienna extracted from the test set	original screenshot	3300x1740	PASS	none	PASS	```	Usually we don't get a dataframe when we want to make a prediction. In a real		
active	PASS	KEEP	02-regression	15-using-model.md	142	images/15-using-model-05-website-request-diagram-imagegen.png	The real-life scenario: a website form with the car details sends a dictionary to the model	conceptual imagegen	1521x1034	PASS	none	PASS	a dictionary: this is how such requests usually look.	Our `prepare_X` function expects a dataframe, though. So we create a small		
active	PASS	KEEP	02-regression	15-using-model.md	167	images/15-using-model-07-single-car-prediction-crisp.png	Creating a one-row dataframe from the car dictionary and predicting: 10.63, the logarithm of the price	original screenshot	3300x1740	PASS	none	PASS	```	There is just one single car, so we take the first number of the array. And		
active	PASS	KEEP	02-regression	15-using-model.md	196	images/15-using-model-08-prediction-vs-actual-crisp.png	The two prices side by side: our prediction is 41,459 dollars, the actual price is 35,000	original screenshot	3300x1740	PASS	none	PASS	```	So our prediction was a bit off - the car costs 35,000 dollars and we predicted		
active	PASS	KEEP	02-regression	16-summary.md	27	images/16-summary-01-data-cleaning-crisp.png	Cleaning the data: lowercasing the column names and the string values with str.replace	original screenshot	3300x1740	PASS	none	PASS	cleaner.	Then we did exploratory data analysis. We identified that the distribution of		
active	PASS	KEEP	02-regression	16-summary.md	53	images/16-summary-03-linear-regression-loop-crisp.png	Linear regression for a single example, implemented as a simple formula with a for loop	original screenshot	3300x1740	PASS	none	PASS	the bias term and the weights.	![Extending it to the vector form with the dot product](images/16-summary-04-vector-form-crisp.png)		
active	PASS	KEEP	02-regression	16-summary.md	55	images/16-summary-04-vector-form-crisp.png	Extending it to the vector form with the dot product	original screenshot	3300x1740	PASS	none	PASS	![Linear regression for a single example, implemented as a simple formula with a for loop](images/16-summary-03-linear-regression-loop-crisp.png)	And then we looked at how to actually obtain these weights - how to train the		
active	PASS	KEEP	02-regression	16-summary.md	63	images/16-summary-05-normal-equation-crisp.png	The normal equation implemented in NumPy: inverting the Gram matrix	original screenshot	3300x1740	PASS	none	PASS	the five base numerical features.	![The baseline model: training with only the five base numerical features](images/16-summary-06-baseline-model-crisp.png)		
active	PASS	KEEP	02-regression	16-summary.md	65	images/16-summary-06-baseline-model-crisp.png	The baseline model: training with only the five base numerical features	original screenshot	3300x1740	PASS	none	PASS	![The normal equation implemented in NumPy: inverting the Gram matrix](images/16-summary-05-normal-equation-crisp.png)	The baseline model didn't do really well, as we saw in the graph. But judging		
active	PASS	KEEP	02-regression	16-summary.md	84	images/16-summary-07-feature-engineering-crisp.png	After adding the age feature: the distribution of predictions (red) matches the actual values (blue)	original screenshot	3300x1740	PASS	none	PASS	distribution of actual values much better than previously.	Then we looked at how to integrate categorical variables. We represented each		
active	PASS	KEEP	02-regression	16-summary.md	91	images/16-summary-08-categorical-variables-crisp.png	Categorical variables: each category becomes a binary column, one-hot encoding	original screenshot	3300x1740	PASS	none	PASS	more details in the next session, when we talk about classification.	After adding all the categorical features we found out that the performance of		
active	PASS	KEEP	02-regression	17-explore-more.md	4	images/17-explore-more-01-feature-experiments-imagegen.png	Two feature sets flow through separate models into a validation comparison board.	conceptual imagegen	1672x941	PASS	none	PASS	# Explore more	*Figure: Test a compact and an expanded feature set by comparing their validation results.*		
active	PASS	KEEP	03-classification	01-churn-project.md	25	images/01-churn-project-01-churn-problem-crisp.png	Churn prediction: each customer gets a churn score, and the customers with the highest scores get a discount offer	original screenshot	1196x720	PASS	none	PASS	promotions.	## Classification		
active	PASS	KEEP	03-classification	01-churn-project.md	36	images/01-churn-project-02-binary-classification-crisp.png	Binary classification: the model g approximates the target y for each customer	original screenshot	1196x720	PASS	none	PASS	$$\large g\left(x_{i}\right) \approx y_{i}$$	Here x is the feature vector - everything we know about the customer -		
active	PASS	KEEP	03-classification	01-churn-project.md	81	images/01-churn-project-03-module-plan-crisp.png	The plan of the module in the course notebook	original screenshot	984x642	PASS	none	PASS	customers.	## Materials		
active	PASS	KEEP	03-classification	02-data-preparation.md	33	images/02-data-preparation-01-download-data-crisp.png	Downloading the dataset with wget	original screenshot	1100x604	PASS	none	PASS	```	In a Jupyter notebook, the `!` prefix runs a shell command instead of		
active	PASS	KEEP	03-classification	02-data-preparation.md	91	images/02-data-preparation-02-first-look-crisp.png	Looking at the data with head().T to see all the columns	original screenshot	1100x604	PASS	none	PASS	```	## Making everything uniform		
active	PASS	KEEP	03-classification	02-data-preparation.md	118	images/02-data-preparation-03-normalized-crisp.png	The same dataframe after making the names and values uniform	original screenshot	1100x616	PASS	none	PASS	stays `month-to-month`, but without the space.	## Fixing the totalcharges column		
active	PASS	KEEP	03-classification	02-data-preparation.md	147	images/02-data-preparation-04-totalcharges-error-crisp.png	"Converting totalcharges to numbers fails because of the ""_"" values"	original screenshot	1100x604	PASS	none	PASS	```	The reason: in the original data, missing values in this column were		
active	PASS	KEEP	03-classification	02-data-preparation.md	173	images/02-data-preparation-05-coerce-missing-crisp.png	The 11 customers with missing total charges	original screenshot	1100x604	PASS	none	PASS	```	These are customers who just joined - their tenure is small and they		
active	PASS	KEEP	03-classification	02-data-preparation.md	205	images/02-data-preparation-06-churn-encoding-crisp.png	Translating churn from yes/no to 1/0	original screenshot	1100x604	PASS	none	PASS	```	For classification we need numbers. We compare the column with `'yes'`		
active	PASS	KEEP	03-classification	03-validation.md	25	images/03-validation-01-train-val-test-split-crisp.png	The plan: first split off 20% for the test set, then split the remaining 80% into train and validation	original screenshot	1042x720	PASS	none	PASS	we do it in two steps.	First we set aside the test set - 20% of all the data:		
active	PASS	KEEP	03-classification	03-validation.md	53	images/03-validation-02-split-sizes-crisp.png	The two splits and the sizes of the resulting sets	original screenshot	1100x644	PASS	none	PASS	```	The full dataset has 7043 customers: 4225 for training (60%), 1409 for		
active	PASS	KEEP	03-classification	03-validation.md	73	images/03-validation-03-reset-index-crisp.png	Resetting the indexes after the shuffle	original screenshot	1100x104	PASS	none	PASS	```	The `drop=True` argument discards the old index instead of adding it		
active	PASS	KEEP	03-classification	03-validation.md	98	images/03-validation-04-isolate-target-crisp.png	Taking the target out of the dataframes and into y vectors	original screenshot	1100x604	PASS	none	PASS	```	This is a safety measure: we don't want to accidentally use the target		
active	PASS	KEEP	03-classification	04-eda.md	54	images/04-eda-01-missing-values-crisp.png	Checking for missing values: everything is 0	original screenshot	1100x604	PASS	none	PASS	```	Everything is 0 - there are no missing values anywhere. We already took		
active	PASS	KEEP	03-classification	04-eda.md	75	images/04-eda-02-churn-rate-crisp.png	The distribution of the target: 73% stayed, 27% churned	original screenshot	1100x604	PASS	none	PASS	```	About 73% of the customers stayed and 27% churned. The percentage of		
active	PASS	KEEP	03-classification	04-eda.md	93	images/04-eda-03-churn-rate-mean-crisp.png	The mean of the binary churn column is the churn rate	original screenshot	1100x264	PASS	none	PASS	```	Same number. This works for any binary variable: its mean is always the		
active	PASS	KEEP	03-classification	04-eda.md	110	images/04-eda-04-numerical-variables-crisp.png	The three numerical variables	original screenshot	1100x64	PASS	none	PASS	```	And 16 categorical ones - everything except `customerid` (an		
active	PASS	KEEP	03-classification	04-eda.md	137	images/04-eda-05-categorical-variables-crisp.png	The list of categorical variables	original screenshot	1100x164	PASS	none	PASS	```	It is a good idea to check how many unique values each categorical		
active	PASS	KEEP	03-classification	05-risk.md	39	images/05-risk-01-churn-rate-gender-crisp.png	Computing the churn rate for each gender and the global churn rate	original screenshot	1100x588	PASS	none	PASS	```	The global churn rate is 0.27, women churn at 0.2768 and men at		
active	PASS	KEEP	03-classification	05-risk.md	90	images/05-risk-02-churn-rate-partner-crisp.png	The churn rate for customers with and without a partner	original screenshot	1100x604	PASS	none	PASS	```	This looks very different from gender. Customers with a partner churn		
active	PASS	KEEP	03-classification	05-risk.md	113	images/05-risk-03-difference-vs-risk-ratio-imagegen-pilot.png	Difference and risk ratio: two ways of comparing a group churn rate with the global one	conceptual imagegen	1550x1014	PASS	none	PASS	and the global churn rate:	```python		
active	PASS	KEEP	03-classification	05-risk.md	131	images/05-risk-04-risk-ratio-crisp.png	The risk ratios for the two partner groups	original screenshot	1100x604	PASS	none	PASS	```	This is the risk ratio. It is easy to read:		
active	PASS	KEEP	03-classification	05-risk.md	194	images/05-risk-05-groupby-gender-crisp.png	The groupby loop showing mean, count, diff and risk for gender	original screenshot	1100x604	PASS	none	PASS	```	And for partner:		
active	PASS	KEEP	03-classification	05-risk.md	217	images/05-risk-06-groupby-contract-crisp.png	The contract table: month-to-month customers churn far more than average	original screenshot	1100x604	PASS	none	PASS	```	`internetservice` tells a similar story - fiber optic customers churn		
active	PASS	KEEP	03-classification	06-mutual-info.md	30	images/06-mutual-info-01-mutual-information-wikipedia-imagegen-pilot.png	Mutual information: how much one variable tells us about another	conceptual imagegen	1536x1024	PASS	none	PASS	categorical variables.	## Measuring it with Scikit-Learn		
active	PASS	KEEP	03-classification	06-mutual-info.md	70	images/06-mutual-info-02-mutual-info-scores-crisp.png	Measuring mutual information with churn for contract, gender and partner	original screenshot	960x500	PASS	none	PASS	```	The order of the arguments doesn't matter - mutual information is		
active	PASS	KEEP	03-classification	06-mutual-info.md	76	images/06-mutual-info-03-symmetric-crisp.png	Mutual information is symmetric: both argument orders give the same score	original screenshot	960x500	PASS	none	PASS	df_full_train.churn)` gives the same 0.0983.	The numbers confirm what we saw with the risk ratios. Contract has by		
active	PASS	KEEP	03-classification	06-mutual-info.md	123	images/06-mutual-info-04-sorted-importance-crisp.png	All categorical variables ranked by mutual information with churn	original screenshot	960x510	PASS	none	PASS	```	The result puts everything on one scale. Contract is the most		
active	PASS	KEEP	03-classification	07-correlation.md	34	images/07-correlation-01-correlation-coefficient-imagegen-pilot.png	The correlation coefficient: the range of r and the low/medium/strong interpretation	conceptual imagegen	1536x1024	PASS	none	PASS	- STRONG when it is between 0.5 and 1.0	In our case one of the two variables is churn - a binary 0/1 column.		
active	PASS	KEEP	03-classification	07-correlation.md	42	images/07-correlation-02-binary-target-imagegen-pilot.png	Correlation with a binary target: positive means more churn, negative means less churn	conceptual imagegen	1536x1024	PASS	none	PASS	important the feature.	## Correlation of numerical features with churn		
active	PASS	KEEP	03-classification	07-correlation.md	61	images/07-correlation-03-corrwith-churn-crisp.png	Correlating the numerical features with churn using corrwith	original screenshot	960x210	PASS	none	PASS	```	Let's read this:		
active	PASS	KEEP	03-classification	07-correlation.md	137	images/07-correlation-04-churn-rate-tenure-clean.png	Churn rate by tenure group: 60%, 40%, 17%	deterministic render	1200x760	PASS	none	PASS	negative correlation told us.	The same check for monthly charges:		
active	PASS	KEEP	03-classification	07-correlation.md	170	images/07-correlation-05-churn-rate-monthly-charges-clean.png	Churn rate by monthly charges group: 8%, 18%, 32%	deterministic render	1400x820	PASS	none	PASS	the positive correlation confirmed.	We now know the importance of categorical variables (mutual		
active	PASS	KEEP	03-classification	08-ohe.md	52	images/08-ohe-01-one-hot-table-crisp.png	One-hot encoding: the gender and contract values of each customer are turned into binary columns, with exactly one 1 per feature	original screenshot	900x680	PASS	none	PASS	the name one-hot encoding comes from.	We do this for every categorical feature. The `paymentmethod` feature		
active	PASS	KEEP	03-classification	08-ohe.md	77	images/08-ohe-02-to-dict-records-crisp.png	Turning a dataframe into a list of dictionaries with to_dict(orient='records') - one dictionary per customer	original screenshot	960x350	PASS	none	PASS	```	## DictVectorizer		
active	PASS	KEEP	03-classification	08-ohe.md	105	images/08-ohe-03-dictvectorizer-fit-crisp.png	Fitting DictVectorizer on the training dictionaries: fit learns the categories, transform produces the matrix, and the result has shape (4225, 45)	original screenshot	960x450	PASS	none	PASS	array.	To see what columns the vectorizer created, use		
active	PASS	KEEP	03-classification	08-ohe.md	124	images/08-ohe-04-feature-names-crisp.png	The feature names created by DictVectorizer: one column per category value such as contract=two_year or internetservice=fiber_optic, plus the numerical columns	original screenshot	960x650	PASS	none	PASS	features after encoding.	## Encoding the validation set		
active	PASS	KEEP	03-classification	08-ohe.md	138	images/08-ohe-05-validation-transform-crisp.png	Encoding the validation set: the same vectorizer, only transform - no second fit	original screenshot	960x450	PASS	none	PASS	```	If we called `fit` again on validation, the columns could come out in a		
active	PASS	KEEP	03-classification	09-logistic-regression.md	33	images/09-logistic-regression-01-binary-classification-clean.png	Binary classification: the target takes values 0 or 1, and the model outputs the probability of belonging to the positive class	deterministic render	1300x760	PASS	none	PASS	this customer will churn.	## From linear regression to logistic regression		
active	PASS	KEEP	03-classification	09-logistic-regression.md	57	images/09-logistic-regression-02-from-linear-to-logistic-clean.png	Logistic regression: the same weighted sum as in linear regression, passed through the sigmoid so the output lands between 0 and 1 instead of anywhere on the real line	deterministic render	1400x760	PASS	none	PASS	</p>	"<p align=""center"">"		
active	PASS	KEEP	03-classification	09-logistic-regression.md	63	images/09-logistic-regression-03-sigmoid-formula-clean.png	The sigmoid curve: scores below zero map to probabilities below 0.5, scores above zero to probabilities above 0.5	deterministic render	1300x820	PASS	none	PASS	</p>	The sigmoid squashes any real number into the range between 0 and 1.		
active	PASS	KEEP	03-classification	09-logistic-regression.md	98	images/09-logistic-regression-04-sigmoid-plot-crisp.png	Sigmoid function	deterministic render	1488x992	PASS	none	PASS	```	The curve has an S shape: scores below roughly -5 give a probability	replaced former 2x soft plot; SVG source uses z=np.linspace(-7,7,51) and sigmoid(z)	
active	PASS	KEEP	03-classification	09-logistic-regression.md	134	images/09-logistic-regression-05-logistic-regression-function-crisp.png	Both models in the notebook: logistic regression is the linear regression function with the score passed through sigmoid before returning	original screenshot	960x410	PASS	none	PASS	```	The two functions are almost identical. That is the whole idea of this		
active	PASS	KEEP	03-classification	10-training-log-reg.md	29	images/10-training-log-reg-01-fit-crisp.png	Training logistic regression: create the model with LogisticRegression and call fit with the feature matrix and the target vector	original screenshot	2640x504	PASS	none	PASS	```	The `solver` is the optimization algorithm that finds the best weights.		
active	PASS	KEEP	03-classification	10-training-log-reg.md	59	images/10-training-log-reg-02-coefficients-crisp.png	The bias term and the 45 weights the model learned - one weight per column produced by DictVectorizer	original screenshot	3030x918	PASS	none	PASS	```	We will read these coefficients in the next lesson.		
active	PASS	KEEP	03-classification	10-training-log-reg.md	81	images/10-training-log-reg-03-soft-predictions-crisp.png	Hard predictions with predict give the final 0/1 answer, soft predictions with predict_proba give the actual probabilities	original screenshot	1200x400	PASS	none	PASS	to 1, so it is enough to take the second one - hence `[:, 1]`.	Now we decide: if the model thinks the probability of churn is 50% or		
active	PASS	KEEP	03-classification	10-training-log-reg.md	90	images/10-training-log-reg-04-churn-decision-crisp.png	Applying the 0.5 threshold: the comparison produces a boolean array with the final churn decision for each customer	original screenshot	3030x660	PASS	none	PASS	```	The result is a boolean array. We can use it to select the customers		
active	PASS	KEEP	03-classification	10-training-log-reg.md	97	images/10-training-log-reg-05-selected-customers-crisp.png	Selecting the validation rows with the churn decision mask: 311 customers should receive the promotional email	original screenshot	3030x1320	PASS	none	PASS	this mask gives 311 customers.	## Accuracy		
active	PASS	KEEP	03-classification	10-training-log-reg.md	137	images/10-training-log-reg-06-accuracy-crisp.png	Computing accuracy both ways: comparing predictions with actual values, and taking the mean of the correct column	original screenshot	3030x1320	PASS	none	PASS	```	Same number, as expected. Taking the mean of a boolean column counts		
active	PASS	KEEP	03-classification	11-log-reg-interpretation.md	32	images/11-log-reg-interpretation-01-zip-crisp.png	Using zip to join two sequences element by element: the numbers 1 to 4 with the letters a to d	original screenshot	3030x1818	PASS	none	PASS	```	We can do the same with the feature names and the weights:		
active	PASS	KEEP	03-classification	11-log-reg-interpretation.md	55	images/11-log-reg-interpretation-02-coefficients-crisp.png	The weights of the full model paired with their feature names - positive weights push towards churn, negative ones push away from it	original screenshot	3030x1200	PASS	none	PASS	```	Now each weight has a name. The interpretation is the same as in linear		
active	PASS	KEEP	03-classification	11-log-reg-interpretation.md	110	images/11-log-reg-interpretation-03-small-features-crisp.png	The smaller model has only five columns: three for the contract categories plus the two numerical features	original screenshot	2940x1410	PASS	none	PASS	```	Three binary columns for the contract categories, plus the two		
active	PASS	KEEP	03-classification	11-log-reg-interpretation.md	133	images/11-log-reg-interpretation-04-small-model-weights-crisp.png	Training the small model and looking at what it learned: the bias term and the five weights	original screenshot	2940x1320	PASS	none	PASS	```	The weights, paired with their names:		
active	PASS	KEEP	03-classification	11-log-reg-interpretation.md	184	images/11-log-reg-interpretation-05-first-example-rendered.png	Scoring the customer in the notebook: the score -3.473 passed through the sigmoid gives a 3% churn probability	deterministic render	1200x440	PASS	none	PASS	```	Only a 3% chance of churn - exactly what we would expect from a		
active	PASS	KEEP	03-classification	11-log-reg-interpretation.md	193	images/11-log-reg-interpretation-06-second-example-imagegen.png	Scoring a month-to-month customer by hand: only the month-to-month weight is used, the other contract weights are multiplied by zero	conceptual imagegen	1793x877	PASS	none	PASS	and the sigmoid of that is about 0.42 - a 42% churn risk.	![The same calculation in the notebook: sigmoid of -0.33 is about 0.42](images/11-log-reg-interpretation-07-second-example-crisp.png)		
